KANWIL;AREA;CABANG;TIPE;ASPEK;ELEMENT;SCORE
KANWIL BANDUNG;AREA TASIKMALAYA;CPS GUNTUR GARUT;SYARIAH;FRONTLINER;FRONTLINER;58,33333333
KANWIL MAKASAR;AREA AMBON;CP NUSANIWE;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL BANDUNG;AREA TASIKMALAYA;CP JATIWANGI;KONVEN;FRONTLINER;FRONTLINER;87,5
KANWIL MEDAN;AREA RANTAU PRAPAT;CP SIBOLGA;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL BANDUNG;AREA TASIKMALAYA;CP GARUT;KONVEN;FRONTLINER;FRONTLINER;87,5
KANWIL BANDUNG;AREA TASIKMALAYA;CP CIBATU;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL MEDAN;AREA MEDAN 1;CP KABANJAHE;KONVEN;FRONTLINER;FRONTLINER;66,66666667
KANWIL BANDUNG;AREA BANDUNG 1;CP PADALARANG;KONVEN;FRONTLINER;FRONTLINER;70,83333333
KANWIL BANDUNG;AREA CIREBON;CP KLAYAN;KONVEN;FRONTLINER;FRONTLINER;91,66666667
KANWIL BANDUNG;AREA TASIKMALAYA;CP KUNINGAN;KONVEN;FRONTLINER;FRONTLINER;83,33333333
KANWIL BANDUNG;AREA TASIKMALAYA;CP CILIMUS;KONVEN;FRONTLINER;FRONTLINER;83,33333333
KANWIL BANDUNG;AREA CIREBON;CP CIREBON;KONVEN;FRONTLINER;FRONTLINER;79,16666667
KANWIL MAKASAR;AREA KENDARI;CP WUA WUA;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL BANDUNG;AREA TASIKMALAYA;CP TASIKMALAYA;KONVEN;FRONTLINER;FRONTLINER;58,33333333
KANWIL MEDAN;AREA BANDA ACEH;CPS TAPAK TUAN;SYARIAH;FRONTLINER;FRONTLINER;54,16666667
KANWIL BANDUNG;AREA CIREBON;CP CILEDUG;KONVEN;FRONTLINER;FRONTLINER;50
KANWIL BANDUNG;AREA CIREBON;CP LOSARI;KONVEN;FRONTLINER;FRONTLINER;87,5
KANWIL MEDAN;AREA BANDA ACEH;CPS LANGSA;SYARIAH;FRONTLINER;FRONTLINER;87,5
KANWIL MEDAN;AREA BANDA ACEH;CPS KUALA SIMPANG;SYARIAH;FRONTLINER;FRONTLINER;87,5
KANWIL BANDUNG;AREA BANDUNG 2;CP BUAH BATU;KONVEN;FRONTLINER;FRONTLINER;70,83333333
KANWIL BANDUNG;AREA TASIKMALAYA;CP MAJALENGKA;KONVEN;FRONTLINER;FRONTLINER;79,16666667
KANWIL JAKARTA 1;AREA BOGOR;CP BOJONGSARI;KONVEN;FRONTLINER;FRONTLINER;50
KANWIL JAKARTA 1;AREA BOGOR;CP KEDUNGHALANG;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL JAKARTA 1;AREA BOGOR;CP PASAR MAWAR;KONVEN;FRONTLINER;FRONTLINER;66,66666667
KANWIL JAKARTA 1;AREA BOGOR;CPS BOGOR BARU;SYARIAH;FRONTLINER;FRONTLINER;79,16666667
KANWIL JAKARTA 1;AREA KRAMATJATI;CP KOTA WISATA;KONVEN;FRONTLINER;FRONTLINER;75
KANWIL MAKASAR;AREA MAKASAR 1;CP PELITA;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL MEDAN;AREA RANTAU PRAPAT;CP T B ASAHAN;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL BANDUNG;AREA BANDUNG 2;CP UJUNGBERUNG;KONVEN;FRONTLINER;FRONTLINER;66,66666667
KANWIL MAKASAR;AREA MAKASAR 1;CP MAROS;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL MEDAN;AREA RANTAU PRAPAT;CPS RANTAU PRAPAT;SYARIAH;FRONTLINER;FRONTLINER;50
KANWIL PALEMBANG;AREA LAMPUNG;CP METRO;KONVEN;FRONTLINER;FRONTLINER;95,83333333
KANWIL MAKASAR;AREA MAKASAR 2;CP LIMBUNG;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL MEDAN;AREA MEDAN 2;CP TANJUNG MORAWA;KONVEN;FRONTLINER;FRONTLINER;33,33333333
KANWIL MEDAN;AREA RANTAU PRAPAT;CP KISARAN;KONVEN;FRONTLINER;FRONTLINER;70,83333333
KANWIL JAKARTA 1;AREA BOGOR;CPS MARGONDA;SYARIAH;FRONTLINER;FRONTLINER;70,83333333
KANWIL MAKASAR;AREA PARE-PARE;CP PARE PARE;KONVEN;FRONTLINER;FRONTLINER;58,33333333
KANWIL MAKASAR;AREA PARE-PARE;CP PINRANG;KONVEN;FRONTLINER;FRONTLINER;62,5
KANWIL BANDUNG;AREA CIREBON;CP INDRAMAYU;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL BANDUNG;AREA CIREBON;CP JATIBARANG;KONVEN;FRONTLINER;FRONTLINER;83,33333333
KANWIL MEDAN;AREA BANDA ACEH;CPS BIREUEN;SYARIAH;FRONTLINER;FRONTLINER;0
KANWIL MAKASAR;AREA MAKASAR 1;CP VETERAN;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL MEDAN;AREA RANTAU PRAPAT;CP TARUTUNG;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL BANDUNG;AREA BANDUNG 2;CPS PADASUKA;SYARIAH;FRONTLINER;FRONTLINER;87,5
KANWIL MAKASAR;AREA MAKASAR 2;CP TAKALAR;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL MAKASAR;AREA PARE-PARE;CP RAPPANG;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL MEDAN;AREA MEDAN 1;CP SIDIKALANG;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL MAKASAR;AREA MAKASAR 2;CP BANGKALA;KONVEN;FRONTLINER;FRONTLINER;83,33333333
KANWIL MAKASAR;AREA BANTAENG;CP JENEPONTO;KONVEN;FRONTLINER;FRONTLINER;75
KANWIL JAKARTA 1;AREA BOGOR;CP CIBINONG;KONVEN;FRONTLINER;FRONTLINER;75
KANWIL MAKASAR;AREA MAKASAR 1;CP BARRU;KONVEN;FRONTLINER;FRONTLINER;54,16666667
KANWIL MAKASAR;AREA KENDARI;CP KENDARI;KONVEN;FRONTLINER;FRONTLINER;79,16666667
KANWIL JAKARTA 1;AREA BOGOR;CP WARUNG JAMBU;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL JAKARTA 1;AREA BOGOR;CP GUNUNG BATU;KONVEN;FRONTLINER;FRONTLINER;83,33333333
KANWIL MAKASAR;AREA MAKASAR 1;CP PANGKEP;KONVEN;FRONTLINER;FRONTLINER;37,5
KANWIL BANDUNG;AREA BANDUNG 1;CP CIANJUR;KONVEN;FRONTLINER;FRONTLINER;87,5
KANWIL MAKASAR;AREA KENDARI;CP MANDONGA;KONVEN;FRONTLINER;FRONTLINER;58,33333333
KANWIL MAKASAR;AREA KENDARI;CP KOLAKA;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL MAKASAR;AREA KENDARI;CP POMALAA;KONVEN;FRONTLINER;FRONTLINER;75
KANWIL MAKASAR;AREA KENDARI;CP UNAAHA;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL MAKASAR;AREA PARE-PARE;CP POLEWALI;KONVEN;FRONTLINER;FRONTLINER;87,5
KANWIL JAKARTA 1;AREA BOGOR;CP CISALAK;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL JAKARTA 1;AREA KRAMATJATI;CP KRAMAT JATI;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL JAKARTA 1;AREA KRAMATJATI;CPS DEWI SARTIKA;SYARIAH;FRONTLINER;FRONTLINER;0
KANWIL JAKARTA 1;AREA BOGOR;CP PANCORAN MAS;KONVEN;FRONTLINER;FRONTLINER;54,16666667
KANWIL BANDUNG;AREA CIREBON;CPS PASARBARU;SYARIAH;FRONTLINER;FRONTLINER;0
KANWIL BANDUNG;AREA CIREBON;CP ARJAWINANGUN;KONVEN;FRONTLINER;FRONTLINER;62,5
KANWIL MAKASAR;AREA PARE-PARE;CP MAJENE;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL MAKASAR;AREA AMBON;CP TUAL;KONVEN;FRONTLINER;FRONTLINER;91,66666667
KANWIL MEDAN;AREA BANDA ACEH;CPS LHOKSEUMAWE;SYARIAH;FRONTLINER;FRONTLINER;0
KANWIL JAKARTA 1;AREA SENEN;CP KEMAYORAN;KONVEN;FRONTLINER;FRONTLINER;83,33333333
KANWIL BANDUNG;AREA CIREBON;CP KARANGAMPEL;KONVEN;FRONTLINER;FRONTLINER;95,83333333
KANWIL MEDAN;AREA RANTAU PRAPAT;CP LABUHAN RUKU;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL MAKASAR;AREA KENDARI;CP RAHA;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL MEDAN;AREA RANTAU PRAPAT;CPS ALAMAN BOLAK;SYARIAH;FRONTLINER;FRONTLINER;0
KANWIL MAKASAR;AREA MAKASAR 2;CP SUNGGUMINASA;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP PEKAYON;KONVEN;FRONTLINER;FRONTLINER;87,5
